Timestamp,Shape,Color
2024-10-13T02:17:13.175460,Pentagon,undefined
2024-10-13T02:17:15.359176,Rectangle,undefined
2024-10-13T02:19:47.523119,Rectangle,red
2024-10-13T02:19:47.523344,Hexagon,green
2024-10-13T02:19:47.523482,Circle,blue
2024-10-13T02:19:47.523607,Triangle,red
2024-10-13T02:31:55.124022,Rectangle,blue
2024-10-13T02:31:55.124302,Hexagon,yellow
2024-10-13T02:31:55.124443,Circle,blue
2024-10-13T02:31:55.124586,Rectangle,yellow
2024-10-13T02:31:55.124744,Circle,yellow
2024-10-13T02:31:55.124870,Rectangle,green
2024-10-13T02:31:55.125008,Rectangle,yellow
2024-10-13T02:45:16.744270,Rectangle,red
2024-10-13T02:45:16.744455,Hexagon,green
2024-10-13T02:45:16.744581,Circle,blue
2024-10-13T02:45:16.744728,Triangle,red
2024-10-13T02:45:50.723920,Hexagon,undefined
2024-10-13T02:45:52.724463,Circle,undefined
2024-10-13T02:45:54.913521,Rectangle,red
2024-10-13T02:45:57.106021,Circle,red
2024-10-13T02:45:59.281771,Rectangle,undefined
2024-10-13T02:46:01.476318,Triangle,red
2024-10-13T02:46:03.660934,Pentagon,undefined
2024-10-13T02:46:05.848515,Triangle,green
2024-10-13T02:46:08.029033,Circle,undefined
2024-10-13T02:46:10.231159,Rectangle,undefined
2024-10-13T02:46:12.406982,Rectangle,red
2024-10-13T02:46:14.608411,Triangle,undefined
