Timestamp,Shape,Color
2024-10-07 16:50:37.546596,Circle,yellow
2024-10-07 16:50:37.548281,Rectangle,undefined
2024-10-07 16:50:37.580600,Circle,yellow
2024-10-07 16:50:37.582471,Rectangle,undefined
2024-10-07 16:50:37.614045,Rectangle,undefined
2024-10-07 16:50:37.644522,Circle,yellow
2024-10-07 16:50:37.646123,Rectangle,undefined
2024-10-07 16:50:37.676871,Circle,yellow
2024-10-07 16:50:37.678429,Rectangle,undefined
2024-10-07 16:50:37.713030,Circle,yellow
2024-10-07 16:50:37.714875,Rectangle,undefined
2024-10-07 16:50:37.745903,Circle,yellow
2024-10-07 16:50:37.747635,Pentagon,undefined
2024-10-07 16:50:37.749387,Rectangle,undefined
2024-10-07 16:50:37.776757,Circle,yellow
2024-10-07 16:50:37.778645,Rectangle,undefined
2024-10-07 16:50:37.780223,Rectangle,undefined
2024-10-07 16:50:37.814130,Pentagon,yellow
2024-10-07 16:50:37.815793,Circle,undefined
2024-10-07 16:50:37.817423,Rectangle,undefined
2024-10-07 16:50:37.843317,Circle,yellow
2024-10-07 16:50:37.844906,Pentagon,undefined
2024-10-07 16:50:37.846233,Circle,blue
2024-10-07 16:50:37.874736,Circle,yellow
2024-10-07 16:50:37.875775,Circle,undefined
2024-10-07 16:50:37.876802,Rectangle,undefined
2024-10-07 16:50:37.906213,Circle,yellow
2024-10-07 16:50:37.907664,Rectangle,undefined
2024-10-07 16:50:37.909021,Circle,undefined
2024-10-07 16:50:37.944843,Circle,yellow
2024-10-07 16:50:37.946412,Triangle,undefined
2024-10-07 16:50:37.947853,Rectangle,undefined
2024-10-07 16:50:37.975682,Circle,yellow
2024-10-07 16:50:37.977295,Rectangle,undefined
2024-10-07 16:50:37.978821,Rectangle,undefined
2024-10-07 16:50:38.009168,Circle,yellow
2024-10-07 16:50:38.010912,Rectangle,undefined
2024-10-07 16:50:38.043357,Pentagon,yellow
2024-10-07 16:50:38.044971,Rectangle,undefined
2024-10-07 16:50:38.046413,Pentagon,undefined
